Program,Year,State,Commodity,Data Item,Value
SURVEY,2016,ARKANSAS,RICE,RICE - ACRES PLANTED,"1,546,000"
SURVEY,2016,ARKANSAS,RICE,"RICE - PRODUCTION, MEASURED IN $","988,898,000"
SURVEY,2016,ARKANSAS,SORGHUM,SORGHUM - ACRES PLANTED,"47,000"
SURVEY,2016,ARKANSAS,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED","44,000"
SURVEY,2016,ARKANSAS,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN $","8,994,000"
SURVEY,2016,ARKANSAS,SOYBEANS,SOYBEANS - ACRES HARVESTED,"3,090,000"
SURVEY,2016,ARKANSAS,SOYBEANS,SOYBEANS - ACRES PLANTED,"3,130,000"
SURVEY,2016,ARKANSAS,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $","1,427,611,000"
SURVEY,2016,ARKANSAS,WHEAT,WHEAT - ACRES HARVESTED,"115,000"
SURVEY,2016,ARKANSAS,WHEAT,WHEAT - ACRES PLANTED,"195,000"
SURVEY,2016,ARKANSAS,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $","28,939,000"
SURVEY,2016,CALIFORNIA,BARLEY,BARLEY - ACRES HARVESTED,"60,000"
SURVEY,2016,CALIFORNIA,BARLEY,BARLEY - ACRES PLANTED,"85,000"
SURVEY,2016,CALIFORNIA,BARLEY,"BARLEY - PRODUCTION, MEASURED IN $","19,350,000"
SURVEY,2016,CALIFORNIA,BEANS,"BEANS, DRY EDIBLE, INCL CHICKPEAS - ACRES HARVESTED","49,000"
SURVEY,2016,CALIFORNIA,BEANS,"BEANS, DRY EDIBLE, INCL CHICKPEAS - ACRES PLANTED","50,000"
SURVEY,2016,CALIFORNIA,BEANS,"BEANS, DRY EDIBLE, INCL CHICKPEAS - PRODUCTION, MEASURED IN $","71,997,000"
SURVEY,2016,CALIFORNIA,CORN,"CORN, GRAIN - ACRES HARVESTED","100,000"
SURVEY,2016,CALIFORNIA,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $","86,765,000"
SURVEY,2016,CALIFORNIA,COTTON,COTTON - ACRES HARVESTED,"216,000"
SURVEY,2016,CALIFORNIA,COTTON,COTTON - ACRES PLANTED,"218,000"
SURVEY,2016,CALIFORNIA,COTTON,"COTTON, COTTONSEED - PRODUCTION, MEASURED IN $","77,556,000"
SURVEY,2016,CALIFORNIA,OATS,OATS - ACRES HARVESTED,"11,000"
SURVEY,2016,CALIFORNIA,OATS,OATS - ACRES PLANTED,"110,000"
SURVEY,2016,CALIFORNIA,OATS,"OATS - PRODUCTION, MEASURED IN $","2,717,000"
SURVEY,2016,CALIFORNIA,RICE,RICE - ACRES HARVESTED,"536,000"
SURVEY,2016,CALIFORNIA,RICE,RICE - ACRES PLANTED,"541,000"
SURVEY,2016,CALIFORNIA,RICE,"RICE - PRODUCTION, MEASURED IN $","677,734,000"
SURVEY,2016,CALIFORNIA,SAFFLOWER,SAFFLOWER - ACRES HARVESTED,"61,500"
SURVEY,2016,CALIFORNIA,SAFFLOWER,SAFFLOWER - ACRES PLANTED,"62,000"
SURVEY,2016,CALIFORNIA,SAFFLOWER,"SAFFLOWER - PRODUCTION, MEASURED IN $","29,766,000"
SURVEY,2016,CALIFORNIA,SUNFLOWER,SUNFLOWER - ACRES HARVESTED,"46,000"
SURVEY,2016,CALIFORNIA,SUNFLOWER,SUNFLOWER - ACRES PLANTED,"46,600"
SURVEY,2016,CALIFORNIA,SUNFLOWER,"SUNFLOWER - PRODUCTION, MEASURED IN $","14,249,000"
SURVEY,2016,CALIFORNIA,WHEAT,WHEAT - ACRES HARVESTED,"217,000"
SURVEY,2016,CALIFORNIA,WHEAT,WHEAT - ACRES PLANTED,"480,000"
SURVEY,2016,CALIFORNIA,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $","88,401,000"
SURVEY,2016,COLORADO,BARLEY,BARLEY - ACRES HARVESTED,"75,000"
SURVEY,2016,COLORADO,BARLEY,BARLEY - ACRES PLANTED,"80,000"
SURVEY,2016,COLORADO,BARLEY,"BARLEY - PRODUCTION, MEASURED IN $","51,374,000"
SURVEY,2016,COLORADO,BEANS,"BEANS, DRY EDIBLE, INCL CHICKPEAS - ACRES HARVESTED","42,500"
SURVEY,2016,COLORADO,BEANS,"BEANS, DRY EDIBLE, INCL CHICKPEAS - ACRES PLANTED","46,000"
SURVEY,2016,COLORADO,BEANS,"BEANS, DRY EDIBLE, INCL CHICKPEAS - PRODUCTION, MEASURED IN $","22,557,000"
SURVEY,2016,COLORADO,CORN,"CORN, GRAIN - ACRES HARVESTED","1,170,000"
SURVEY,2016,COLORADO,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $","548,192,000"
SURVEY,2016,COLORADO,MILLET,"MILLET, PROSO - ACRES HARVESTED","285,000"
SURVEY,2016,COLORADO,MILLET,"MILLET, PROSO - ACRES PLANTED","300,000"
SURVEY,2016,COLORADO,MILLET,"MILLET, PROSO - PRODUCTION, MEASURED IN $","22,338,000"
SURVEY,2016,COLORADO,OATS,OATS - ACRES HARVESTED,"10,000"
SURVEY,2016,COLORADO,OATS,OATS - ACRES PLANTED,"55,000"
SURVEY,2016,COLORADO,OATS,"OATS - PRODUCTION, MEASURED IN $","2,136,000"
SURVEY,2016,COLORADO,SORGHUM,SORGHUM - ACRES PLANTED,"450,000"
SURVEY,2016,COLORADO,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED","415,000"
SURVEY,2016,COLORADO,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN $","49,966,000"
SURVEY,2016,COLORADO,SUNFLOWER,SUNFLOWER - ACRES HARVESTED,"70,000"
SURVEY,2016,COLORADO,SUNFLOWER,SUNFLOWER - ACRES PLANTED,"74,000"
SURVEY,2016,COLORADO,SUNFLOWER,"SUNFLOWER - PRODUCTION, MEASURED IN $","13,883,000"
SURVEY,2016,COLORADO,WHEAT,WHEAT - ACRES HARVESTED,"2,200,000"
SURVEY,2016,COLORADO,WHEAT,WHEAT - ACRES PLANTED,"2,361,000"
SURVEY,2016,COLORADO,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $","326,674,000"
SURVEY,2016,DELAWARE,BARLEY,BARLEY - ACRES HARVESTED,"25,000"
SURVEY,2016,DELAWARE,BARLEY,BARLEY - ACRES PLANTED,"35,000"
SURVEY,2016,DELAWARE,BARLEY,"BARLEY - PRODUCTION, MEASURED IN $","5,016,000"
SURVEY,2016,DELAWARE,CORN,"CORN, GRAIN - ACRES HARVESTED","164,000"
SURVEY,2016,DELAWARE,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $","114,029,000"
SURVEY,2016,DELAWARE,SOYBEANS,SOYBEANS - ACRES HARVESTED,"163,000"
SURVEY,2016,DELAWARE,SOYBEANS,SOYBEANS - ACRES PLANTED,"165,000"
SURVEY,2016,DELAWARE,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $","63,862,000"
SURVEY,2016,DELAWARE,WHEAT,WHEAT - ACRES HARVESTED,"65,000"
SURVEY,2016,DELAWARE,WHEAT,WHEAT - ACRES PLANTED,"70,000"
SURVEY,2016,DELAWARE,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $","17,594,000"
SURVEY,2016,FLORIDA,CORN,"CORN, GRAIN - ACRES HARVESTED","40,000"
SURVEY,2016,FLORIDA,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $","22,794,000"
SURVEY,2016,FLORIDA,COTTON,COTTON - ACRES HARVESTED,"102,000"
SURVEY,2016,FLORIDA,COTTON,COTTON - ACRES PLANTED,"103,000"
SURVEY,2016,FLORIDA,COTTON,"COTTON, COTTONSEED - PRODUCTION, MEASURED IN $","72,421,000"
SURVEY,2016,FLORIDA,PEANUTS,PEANUTS - ACRES HARVESTED,"146,000"
SURVEY,2016,FLORIDA,PEANUTS,PEANUTS - ACRES PLANTED,"155,000"
SURVEY,2016,FLORIDA,PEANUTS,"PEANUTS - PRODUCTION, MEASURED IN $","107,076,000"
SURVEY,2016,FLORIDA,SOYBEANS,SOYBEANS - ACRES HARVESTED,"29,000"
SURVEY,2016,FLORIDA,SOYBEANS,SOYBEANS - ACRES PLANTED,"31,000"
SURVEY,2016,FLORIDA,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $","9,135,000"
SURVEY,2016,FLORIDA,WHEAT,WHEAT - ACRES HARVESTED,"15,000"
SURVEY,2016,FLORIDA,WHEAT,WHEAT - ACRES PLANTED,"22,000"
SURVEY,2016,FLORIDA,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $","1,755,000"
SURVEY,2016,GEORGIA,CORN,"CORN, GRAIN - ACRES HARVESTED","340,000"
SURVEY,2016,GEORGIA,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $","217,668,000"
SURVEY,2016,GEORGIA,COTTON,COTTON - ACRES HARVESTED,"1,165,000"
SURVEY,2016,GEORGIA,COTTON,COTTON - ACRES PLANTED,"1,180,000"
SURVEY,2016,GEORGIA,COTTON,"COTTON, COTTONSEED - PRODUCTION, MEASURED IN $","856,280,000"
SURVEY,2016,GEORGIA,OATS,OATS - ACRES HARVESTED,"15,000"
SURVEY,2016,GEORGIA,OATS,OATS - ACRES PLANTED,"45,000"
SURVEY,2016,GEORGIA,OATS,"OATS - PRODUCTION, MEASURED IN $","3,132,000"
SURVEY,2016,GEORGIA,PEANUTS,PEANUTS - ACRES HARVESTED,"706,000"
SURVEY,2016,GEORGIA,PEANUTS,PEANUTS - ACRES PLANTED,"720,000"
SURVEY,2016,GEORGIA,PEANUTS,"PEANUTS - PRODUCTION, MEASURED IN $","512,132,000"
SURVEY,2016,GEORGIA,RYE,RYE - ACRES HARVESTED,"30,000"
SURVEY,2016,GEORGIA,RYE,RYE - ACRES PLANTED,"200,000"
SURVEY,2016,GEORGIA,RYE,"RYE - PRODUCTION, MEASURED IN $","3,686,000"
SURVEY,2016,GEORGIA,SORGHUM,SORGHUM - ACRES PLANTED,"20,000"
SURVEY,2016,GEORGIA,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED","10,000"
SURVEY,2016,GEORGIA,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN $","1,926,000"
SURVEY,2016,GEORGIA,SOYBEANS,SOYBEANS - ACRES HARVESTED,"240,000"
SURVEY,2016,GEORGIA,SOYBEANS,SOYBEANS - ACRES PLANTED,"260,000"
SURVEY,2016,GEORGIA,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $","72,720,000"
SURVEY,2016,GEORGIA,WHEAT,WHEAT - ACRES HARVESTED,"110,000"
SURVEY,2016,GEORGIA,WHEAT,WHEAT - ACRES PLANTED,"180,000"
SURVEY,2016,GEORGIA,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $","20,493,000"
SURVEY,2016,IDAHO,BARLEY,BARLEY - ACRES HARVESTED,"580,000"
SURVEY,2016,IDAHO,BARLEY,BARLEY - ACRES PLANTED,"600,000"
SURVEY,2016,IDAHO,BARLEY,"BARLEY - PRODUCTION, MEASURED IN $","322,091,000"
SURVEY,2016,IDAHO,BEANS,"BEANS, DRY EDIBLE, INCL CHICKPEAS - ACRES HARVESTED","137,000"
SURVEY,2016,IDAHO,BEANS,"BEANS, DRY EDIBLE, INCL CHICKPEAS - ACRES PLANTED","140,000"
SURVEY,2016,IDAHO,BEANS,"BEANS, DRY EDIBLE, INCL CHICKPEAS - PRODUCTION, MEASURED IN $","71,635,000"
SURVEY,2016,IDAHO,CANOLA,CANOLA - ACRES HARVESTED,"20,500"
SURVEY,2016,IDAHO,CANOLA,CANOLA - ACRES PLANTED,"21,000"
SURVEY,2016,IDAHO,CANOLA,"CANOLA - PRODUCTION, MEASURED IN $","6,945,000"
SURVEY,2016,IDAHO,CORN,"CORN, GRAIN - ACRES HARVESTED","100,000"
SURVEY,2016,IDAHO,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $","83,472,000"
SURVEY,2016,IDAHO,LENTILS,LENTILS - ACRES HARVESTED,"37,000"
SURVEY,2016,IDAHO,LENTILS,LENTILS - ACRES PLANTED,"38,000"
SURVEY,2016,IDAHO,LENTILS,"LENTILS - PRODUCTION, MEASURED IN $","15,670,000"
SURVEY,2016,IDAHO,OATS,OATS - ACRES HARVESTED,"15,000"
SURVEY,2016,IDAHO,OATS,OATS - ACRES PLANTED,"55,000"
SURVEY,2016,IDAHO,OATS,"OATS - PRODUCTION, MEASURED IN $","3,175,000"
SURVEY,2016,IDAHO,PEAS,"PEAS, DRY EDIBLE - ACRES HARVESTED","29,000"
SURVEY,2016,IDAHO,PEAS,"PEAS, DRY EDIBLE - ACRES PLANTED","30,000"
SURVEY,2016,IDAHO,PEAS,"PEAS, DRY EDIBLE - PRODUCTION, MEASURED IN $","8,845,000"
SURVEY,2016,IDAHO,SAFFLOWER,SAFFLOWER - ACRES HARVESTED,"17,500"
SURVEY,2016,IDAHO,SAFFLOWER,SAFFLOWER - ACRES PLANTED,"18,000"
SURVEY,2016,IDAHO,SAFFLOWER,"SAFFLOWER - PRODUCTION, MEASURED IN $","2,529,000"
SURVEY,2016,IDAHO,WHEAT,WHEAT - ACRES HARVESTED,"1,125,000"
SURVEY,2016,IDAHO,WHEAT,WHEAT - ACRES PLANTED,"1,190,000"
SURVEY,2016,IDAHO,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $","421,527,000"
SURVEY,2016,ILLINOIS,CORN,"CORN, GRAIN - ACRES HARVESTED","11,450,000"
SURVEY,2016,ILLINOIS,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $","7,736,880,000"
SURVEY,2016,ILLINOIS,OATS,OATS - ACRES HARVESTED,"20,000"
SURVEY,2016,ILLINOIS,OATS,OATS - ACRES PLANTED,"45,000"
SURVEY,2016,ILLINOIS,OATS,"OATS - PRODUCTION, MEASURED IN $","3,888,000"
SURVEY,2016,ILLINOIS,SORGHUM,SORGHUM - ACRES PLANTED,"18,000"
SURVEY,2016,ILLINOIS,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED","16,000"
SURVEY,2016,ILLINOIS,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN $","4,508,000"
SURVEY,2016,ILLINOIS,SOYBEANS,SOYBEANS - ACRES HARVESTED,"10,050,000"
SURVEY,2016,ILLINOIS,SOYBEANS,SOYBEANS - ACRES PLANTED,"10,100,000"
SURVEY,2016,ILLINOIS,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $","5,799,051,000"
SURVEY,2016,ILLINOIS,WHEAT,WHEAT - ACRES HARVESTED,"470,000"
SURVEY,2016,ILLINOIS,WHEAT,WHEAT - ACRES PLANTED,"520,000"
SURVEY,2016,ILLINOIS,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $","142,250,000"
SURVEY,2016,INDIANA,CORN,"CORN, GRAIN - ACRES HARVESTED","5,470,000"
SURVEY,2016,INDIANA,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $","3,435,105,000"
SURVEY,2016,INDIANA,SOYBEANS,SOYBEANS - ACRES HARVESTED,"5,630,000"
SURVEY,2016,INDIANA,SOYBEANS,SOYBEANS - ACRES PLANTED,"5,650,000"
SURVEY,2016,INDIANA,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $","3,136,895,000"
SURVEY,2016,INDIANA,WHEAT,WHEAT - ACRES HARVESTED,"280,000"
SURVEY,2016,INDIANA,WHEAT,WHEAT - ACRES PLANTED,"330,000"
SURVEY,2016,INDIANA,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $","91,627,000"
SURVEY,2016,IOWA,CORN,"CORN, GRAIN - ACRES HARVESTED","13,500,000"
1,2016,IOWA,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $","9,043,650,000"
SURVEY,2016,IOWA,OATS,OATS - ACRES HARVESTED,"43,000"
SURVEY,2016,IOWA,OATS,OATS - ACRES PLANTED,"120,000"
SURVEY,2016,IOWA,OATS,"OATS - PRODUCTION, MEASURED IN $","8,235,000"
SURVEY,2016,IOWA,SOYBEANS,SOYBEANS - ACRES HARVESTED,"9,440,000"
SURVEY,2016,IOWA,SOYBEANS,SOYBEANS - ACRES PLANTED,"9,500,000"
SURVEY,2016,IOWA,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $","5,290,176,000"
SURVEY,2016,IOWA,WHEAT,WHEAT - ACRES HARVESTED,"17,000"
SURVEY,2016,IOWA,WHEAT,WHEAT - ACRES PLANTED,"25,000"
SURVEY,2016,IOWA,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $","3,877,000"
SURVEY,2016,KANSAS,CANOLA,CANOLA - ACRES HARVESTED,"24,000"
SURVEY,2016,KANSAS,CANOLA,CANOLA - ACRES PLANTED,"25,000"
SURVEY,2016,KANSAS,CANOLA,"CANOLA - PRODUCTION, MEASURED IN $","7,124,000"
SURVEY,2016,KANSAS,CORN,"CORN, GRAIN - ACRES HARVESTED","4,920,000"
SURVEY,2016,KANSAS,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $","2,235,648,000"
SURVEY,2016,KANSAS,COTTON,COTTON - ACRES HARVESTED,"31,000"
SURVEY,2016,KANSAS,COTTON,COTTON - ACRES PLANTED,"33,000"
SURVEY,2016,KANSAS,COTTON,"COTTON, COTTONSEED - PRODUCTION, MEASURED IN $","23,515,000"
SURVEY,2016,KANSAS,OATS,OATS - ACRES HARVESTED,"30,000"
SURVEY,2016,KANSAS,OATS,OATS - ACRES PLANTED,"120,000"
SURVEY,2016,KANSAS,OATS,"OATS - PRODUCTION, MEASURED IN $","3,027,000"
SURVEY,2016,KANSAS,SORGHUM,SORGHUM - ACRES PLANTED,"3,100,000"
SURVEY,2016,KANSAS,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED","2,950,000"
SURVEY,2016,KANSAS,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN $","702,050,000"
SURVEY,2016,KANSAS,SOYBEANS,SOYBEANS - ACRES HARVESTED,"4,010,000"
SURVEY,2016,KANSAS,SOYBEANS,SOYBEANS - ACRES PLANTED,"4,050,000"
SURVEY,2016,KANSAS,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $","1,782,365,000"
SURVEY,2016,KANSAS,SUNFLOWER,SUNFLOWER - ACRES HARVESTED,"58,000"
SURVEY,2016,KANSAS,SUNFLOWER,SUNFLOWER - ACRES PLANTED,"63,000"
SURVEY,2016,KANSAS,SUNFLOWER,"SUNFLOWER - PRODUCTION, MEASURED IN $","13,632,000"
SURVEY,2016,KANSAS,WHEAT,WHEAT - ACRES HARVESTED,"8,200,000"
SURVEY,2016,KANSAS,WHEAT,WHEAT - ACRES PLANTED,"8,500,000"
SURVEY,2016,KANSAS,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $","1,495,680,000"
SURVEY,2016,KENTUCKY,CORN,"CORN, GRAIN - ACRES HARVESTED","1,400,000"
SURVEY,2016,KENTUCKY,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $","832,524,000"
SURVEY,2016,KENTUCKY,SOYBEANS,SOYBEANS - ACRES HARVESTED,"1,780,000"
SURVEY,2016,KENTUCKY,SOYBEANS,SOYBEANS - ACRES PLANTED,"1,790,000"
SURVEY,2016,KENTUCKY,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $","878,430,000"
SURVEY,2016,KENTUCKY,WHEAT,WHEAT - ACRES HARVESTED,"400,000"
SURVEY,2016,KENTUCKY,WHEAT,WHEAT - ACRES PLANTED,"510,000"
SURVEY,2016,KENTUCKY,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $","144,640,000"
SURVEY,2016,LOUISIANA,CORN,"CORN, GRAIN - ACRES HARVESTED","550,000"
SURVEY,2016,LOUISIANA,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $","335,775,000"
SURVEY,2016,LOUISIANA,COTTON,COTTON - ACRES HARVESTED,"137,000"
SURVEY,2016,LOUISIANA,COTTON,COTTON - ACRES PLANTED,"140,000"
SURVEY,2016,LOUISIANA,COTTON,"COTTON, COTTONSEED - PRODUCTION, MEASURED IN $","107,249,000"
SURVEY,2016,LOUISIANA,RICE,RICE - ACRES HARVESTED,"428,000"
SURVEY,2016,LOUISIANA,RICE,RICE - ACRES PLANTED,"437,000"
SURVEY,2016,LOUISIANA,RICE,"RICE - PRODUCTION, MEASURED IN $","289,578,000"
SURVEY,2016,LOUISIANA,SORGHUM,SORGHUM - ACRES PLANTED,"52,000"
SURVEY,2016,LOUISIANA,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED","46,000"
SURVEY,2016,LOUISIANA,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN $","15,870,000"
SURVEY,2016,LOUISIANA,SOYBEANS,SOYBEANS - ACRES HARVESTED,"1,190,000"
SURVEY,2016,LOUISIANA,SOYBEANS,SOYBEANS - ACRES PLANTED,"1,230,000"
SURVEY,2016,LOUISIANA,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $","573,110,000"
SURVEY,2016,LOUISIANA,WHEAT,WHEAT - ACRES HARVESTED,"20,000"
SURVEY,2016,LOUISIANA,WHEAT,WHEAT - ACRES PLANTED,"25,000"
SURVEY,2016,LOUISIANA,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $","3,825,000"
SURVEY,2016,MAINE,OATS,OATS - ACRES HARVESTED,"22,000"
SURVEY,2016,MAINE,OATS,OATS - ACRES PLANTED,"25,000"
SURVEY,2016,MAINE,OATS,"OATS - PRODUCTION, MEASURED IN $","3,593,000"
SURVEY,2016,MARYLAND,BARLEY,BARLEY - ACRES HARVESTED,"34,000"
SURVEY,2016,MARYLAND,BARLEY,BARLEY - ACRES PLANTED,"50,000"
SURVEY,2016,MARYLAND,BARLEY,"BARLEY - PRODUCTION, MEASURED IN $","6,585,000"
SURVEY,2016,MARYLAND,CORN,"CORN, GRAIN - ACRES HARVESTED","400,000"
SURVEY,2016,MARYLAND,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $","246,240,000"
SURVEY,2016,MARYLAND,SOYBEANS,SOYBEANS - ACRES HARVESTED,"515,000"
SURVEY,2016,MARYLAND,SOYBEANS,SOYBEANS - ACRES PLANTED,"520,000"
SURVEY,2016,MARYLAND,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $","199,410,000"
SURVEY,2016,MARYLAND,WHEAT,WHEAT - ACRES HARVESTED,"260,000"
SURVEY,2016,MARYLAND,WHEAT,WHEAT - ACRES PLANTED,"360,000"
SURVEY,2016,MARYLAND,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $","67,226,000"
SURVEY,2016,MICHIGAN,BEANS,"BEANS, DRY EDIBLE, INCL CHICKPEAS - ACRES HARVESTED","208,000"
SURVEY,2016,MICHIGAN,BEANS,"BEANS, DRY EDIBLE, INCL CHICKPEAS - ACRES PLANTED","210,000"
SURVEY,2016,MICHIGAN,BEANS,"BEANS, DRY EDIBLE, INCL CHICKPEAS - PRODUCTION, MEASURED IN $","116,858,000"
SURVEY,2016,MICHIGAN,CORN,"CORN, GRAIN - ACRES HARVESTED","2,040,000"
SURVEY,2016,MICHIGAN,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $","1,101,763,000"
